tokenizer,text,algorithm,vocab_size,total_tokens,unique_types,type_token_ratio,hapax_types,hapax_rate,shannon_entropy_H1,effective_vocab_V_eff,vocab_efficiency_eta,zipf_exponent,zipf_r_squared,H_0,H_0.5,H_2,H_3,H_10,H_inf
Balochi_BPE_32K,Tahir Hakim.txt,BPE,32000,5791,1285,0.221896,762,0.592996,7.455678,175.542732,0.005486,0.845163,0.939373,10.327553,9.365973,4.092010,3.245440,2.455015,2.209578
Balochi_BPE_32K,liberal capitalism.txt,BPE,32000,8081,1028,0.127212,503,0.489300,6.816719,112.729315,0.003523,0.921442,0.968669,10.005625,8.805834,3.946646,3.203194,2.475542,2.228774
Balochi_BPE_47K,Tahir Hakim.txt,BPE,47000,5712,1294,0.226541,789,0.609737,7.432246,172.714568,0.003675,0.859311,0.942279,10.337622,9.369546,4.057795,3.217408,2.433002,2.189761
Balochi_BPE_47K,liberal capitalism.txt,BPE,47000,7975,1017,0.127524,517,0.508358,6.765656,108.809109,0.002315,0.927270,0.969024,9.990104,8.774691,3.909347,3.174630,2.454376,2.209725
Balochi_BPE_64K,Tahir Hakim.txt,BPE,64000,5673,1297,0.228627,796,0.613724,7.419434,171.187515,0.002675,0.860981,0.942839,10.340963,9.369712,4.041054,3.203578,2.422023,2.179877
Balochi_BPE_64K,liberal capitalism.txt,BPE,64000,7910,1012,0.127939,520,0.513834,6.734593,106.491409,0.001664,0.933908,0.970258,9.982994,8.758759,3.886132,3.156923,2.441257,2.197918
Balochi_BPE_80K,Tahir Hakim.txt,BPE,80000,5648,1295,0.229285,798,0.616216,7.404372,169.409616,0.002118,0.864224,0.943054,10.338736,9.363688,4.028480,3.194021,2.414944,2.173506
Balochi_BPE_80K,liberal capitalism.txt,BPE,80000,7806,1003,0.128491,519,0.517448,6.689367,103.204884,0.001290,0.937257,0.970631,9.970106,8.734742,3.849182,3.128311,2.420041,2.178824
Balochi_BPE_128K,Tahir Hakim.txt,BPE,128000,5608,1289,0.229850,800,0.620636,7.384464,167.087923,0.001305,0.868173,0.943809,10.332037,9.352778,4.010997,3.179633,2.403554,2.163252
Balochi_BPE_128K,liberal capitalism.txt,BPE,128000,7737,990,0.127957,517,0.522222,6.647314,100.239962,0.000783,0.939279,0.970829,9.951285,8.703882,3.823866,3.109100,2.405809,2.166014
Balochi_WP_32K,Tahir Hakim.txt,Unknown,32000,4412,1123,0.254533,682,0.607302,7.420043,171.259827,0.005352,0.785146,0.925851,10.133142,9.267442,3.692705,2.800813,2.075132,1.867619
Balochi_WP_32K,liberal capitalism.txt,Unknown,32000,6015,918,0.152618,468,0.509804,6.892430,118.803177,0.003713,0.812610,0.951570,9.842350,8.775221,3.611836,2.760609,2.046469,1.841822
Balochi_WP_47K,Tahir Hakim.txt,Unknown,47000,4361,1121,0.257051,692,0.617306,7.390569,167.796568,0.003570,0.794102,0.928010,10.130571,9.258976,3.659937,2.775662,2.056494,1.850845
Balochi_WP_47K,liberal capitalism.txt,Unknown,47000,5919,904,0.152729,463,0.512168,6.843642,114.852786,0.002444,0.821951,0.954042,9.820179,8.747023,3.566562,2.725804,2.020679,1.818611
Balochi_WP_64K,Tahir Hakim.txt,Unknown,64000,4321,1117,0.258505,694,0.621307,7.365665,164.924803,0.002577,0.803295,0.929082,10.125413,9.249824,3.633933,2.755730,2.041723,1.837551
Balochi_WP_64K,liberal capitalism.txt,Unknown,64000,5879,899,0.152917,466,0.518354,6.819279,112.929508,0.001765,0.835750,0.956395,9.812177,8.733516,3.547270,2.711131,2.009809,1.808828
Balochi_WP_80K,Tahir Hakim.txt,Unknown,80000,4292,1113,0.259320,693,0.622642,7.346250,162.720278,0.002034,0.811288,0.929370,10.120238,9.241788,3.614864,2.741162,2.030929,1.827836
Balochi_WP_80K,liberal capitalism.txt,Unknown,80000,5783,896,0.154937,464,0.517857,6.783855,110.190449,0.001377,0.840775,0.957176,9.807355,8.724933,3.501773,2.675542,1.983417,1.785075
Balochi_WP_128K,Tahir Hakim.txt,Unknown,128000,4262,1101,0.258329,687,0.623978,7.315920,159.335030,0.001245,0.811473,0.929060,10.104599,9.220397,3.594827,2.725985,2.019685,1.817716
Balochi_WP_128K,liberal capitalism.txt,Unknown,128000,5714,881,0.154183,463,0.525539,6.728083,106.011908,0.000828,0.845267,0.957587,9.782998,8.685573,3.467394,2.649568,1.964176,1.767758
Balochi_SP_32K,Tahir Hakim.txt,Unknown,32000,7178,1323,0.184313,764,0.577475,7.445749,174.338738,0.005448,1.052269,0.984576,10.369597,9.273777,4.897905,4.125120,3.199479,2.880108
Balochi_SP_32K,liberal capitalism.txt,Unknown,32000,10008,1102,0.110112,535,0.485481,6.902537,119.638418,0.003739,1.044838,0.991204,10.105909,8.805391,4.546762,3.861485,3.068791,2.765304
Balochi_SP_47K,Tahir Hakim.txt,Unknown,47000,7120,1324,0.185955,776,0.586103,7.429480,172.383771,0.003668,1.052005,0.983196,10.370687,9.270789,4.876595,4.107690,3.186473,2.868403
Balochi_SP_47K,liberal capitalism.txt,Unknown,47000,9805,1096,0.111780,545,0.497263,6.862289,116.346879,0.002475,1.043967,0.989212,10.098032,8.790904,4.493936,3.817501,3.035942,2.735740
Balochi_SP_64K,Tahir Hakim.txt,Unknown,64000,7075,1332,0.188269,792,0.594595,7.418360,171.060170,0.002673,1.059334,0.983533,10.379378,9.275214,4.859457,4.094006,3.176310,2.859256
Balochi_SP_64K,liberal capitalism.txt,Unknown,64000,9715,1101,0.113330,552,0.501362,6.844339,114.908258,0.001795,1.048341,0.988504,10.104599,8.793021,4.469138,3.797610,3.021161,2.722436
Balochi_SP_80K,Tahir Hakim.txt,Unknown,80000,7045,1338,0.189922,805,0.601644,7.409845,170.053487,0.002126,1.061615,0.983219,10.385862,9.277964,4.847733,4.084797,3.169498,2.853126
Balochi_SP_80K,liberal capitalism.txt,Unknown,80000,9681,1101,0.113728,555,0.504087,6.833909,114.080537,0.001426,1.049449,0.988100,10.104599,8.789902,4.459401,3.790031,3.015541,2.717378
Balochi_SP_128K,Tahir Hakim.txt,Unknown,128000,6996,1340,0.191538,815,0.608209,7.392429,168.013003,0.001313,1.066554,0.983198,10.388017,9.274893,4.828632,4.069725,3.158310,2.843056
Balochi_SP_128K,liberal capitalism.txt,Unknown,128000,9626,1107,0.115001,566,0.511292,6.816794,112.735155,0.000881,1.060895,0.989136,10.112440,8.789750,4.443249,3.777685,3.006408,2.709159
